Canción,Artista,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Milk White Air,J. Tillman,0.463,0.122,5,-15.377,1,0.0335,0.874,0.329,0.103,0.18,102.983,audio_features,6lFHBbN3sDmSTqpEdZyBGv,spotify:track:6lFHBbN3sDmSTqpEdZyBGv,https://api.spotify.com/v1/tracks/6lFHBbN3sDmSTqpEdZyBGv,https://api.spotify.com/v1/audio-analysis/6lFHBbN3sDmSTqpEdZyBGv,210173,4
Loneliness,Aaron Taos,0.613,0.488,4,-5.918,1,0.0253,0.242,0.000287,0.0944,0.0939,90.043,audio_features,58rs5ZN3jjZ03rOuVyPNZb,spotify:track:58rs5ZN3jjZ03rOuVyPNZb,https://api.spotify.com/v1/tracks/58rs5ZN3jjZ03rOuVyPNZb,https://api.spotify.com/v1/audio-analysis/58rs5ZN3jjZ03rOuVyPNZb,244000,3
The Next World,Opus Orange,0.633,0.387,7,-12.239,1,0.0332,0.223,0.138,0.102,0.297,93.996,audio_features,0JXKS3yn0oeSBeji20J523,spotify:track:0JXKS3yn0oeSBeji20J523,https://api.spotify.com/v1/tracks/0JXKS3yn0oeSBeji20J523,https://api.spotify.com/v1/audio-analysis/0JXKS3yn0oeSBeji20J523,340921,4
Apricot Eyes,Alan Gogoll,0.417,0.271,9,-21.495,1,0.052,0.773,0.898,0.0999,0.549,128.13,audio_features,1mzjbH3G6oEm2OUTpXOS6f,spotify:track:1mzjbH3G6oEm2OUTpXOS6f,https://api.spotify.com/v1/tracks/1mzjbH3G6oEm2OUTpXOS6f,https://api.spotify.com/v1/audio-analysis/1mzjbH3G6oEm2OUTpXOS6f,204000,4
Apathy Dance,Gustavo Bertoni,0.447,0.281,0,-9.223,1,0.0319,0.857,0.000207,0.107,0.267,129.648,audio_features,2z37pTrYrn8ncBt8QhxIl0,spotify:track:2z37pTrYrn8ncBt8QhxIl0,https://api.spotify.com/v1/tracks/2z37pTrYrn8ncBt8QhxIl0,https://api.spotify.com/v1/audio-analysis/2z37pTrYrn8ncBt8QhxIl0,204406,4
lvr boy,awfultune,0.498,0.0283,6,-25.021,1,0.0427,0.949,1.76e-06,0.251,0.0653,85.473,audio_features,6Py8QOQ4I1286xM9KncPQ4,spotify:track:6Py8QOQ4I1286xM9KncPQ4,https://api.spotify.com/v1/tracks/6Py8QOQ4I1286xM9KncPQ4,https://api.spotify.com/v1/audio-analysis/6Py8QOQ4I1286xM9KncPQ4,295751,4
Honey Let's Just Drive,Philip Brooks,0.53,0.497,9,-13.07,1,0.0294,0.0425,0.3,0.0928,0.128,139.982,audio_features,06OLH1cjQrSuWrqg7FXTD3,spotify:track:06OLH1cjQrSuWrqg7FXTD3,https://api.spotify.com/v1/tracks/06OLH1cjQrSuWrqg7FXTD3,https://api.spotify.com/v1/audio-analysis/06OLH1cjQrSuWrqg7FXTD3,211286,4
Where's My Love - Acoustic,SYML,0.554,0.226,3,-11.323,1,0.0281,0.891,0.0321,0.107,0.229,104.005,audio_features,51Yy4jTMPlq0Qwnn53id64,spotify:track:51Yy4jTMPlq0Qwnn53id64,https://api.spotify.com/v1/tracks/51Yy4jTMPlq0Qwnn53id64,https://api.spotify.com/v1/audio-analysis/51Yy4jTMPlq0Qwnn53id64,239880,4
Lua,Bright Eyes,0.601,0.124,2,-18.301,1,0.083,0.802,3e-05,0.0565,0.314,103.63,audio_features,4PMvRfhHAx5j6Bb3XsFLoq,spotify:track:4PMvRfhHAx5j6Bb3XsFLoq,https://api.spotify.com/v1/tracks/4PMvRfhHAx5j6Bb3XsFLoq,https://api.spotify.com/v1/audio-analysis/4PMvRfhHAx5j6Bb3XsFLoq,271667,4
Youth,Daughter,0.401,0.535,0,-11.09,1,0.0407,0.889,0.00667,0.116,0.436,146.515,audio_features,6tqzOYuE3lrNVPDgtF3MjM,spotify:track:6tqzOYuE3lrNVPDgtF3MjM,https://api.spotify.com/v1/tracks/6tqzOYuE3lrNVPDgtF3MjM,https://api.spotify.com/v1/audio-analysis/6tqzOYuE3lrNVPDgtF3MjM,253013,4
